id,nctn,invn,suffix,tsk,lir,ogtd,cls,controllo_inventario,rifatta,
10931,1600010931,65950,,RA,C,Testa di figura femminile,,0,f,
10932,1600010932,65951,,RA,C,Testa di figura femminile,,0,f,
10933,1600010933,65952,,RA,C,Testa di statuetta muliebre,,0,f,
10934,1600010934,65953,,RA,C,Testa di statuetta muliebre,,0,f,
10935,1600010935,65954,,RA,C,Testa di statuetta muliebre,,0,f,
10936,1600010936,65955,,RA,C,Testa di statuetta muliebre,,0,f,
10937,1600010937,65956,,RA,C,Testa di statuetta muliebre,,0,f,
10938,1600010938,65957,,RA,C,Testa di statuetta muliebre,,0,f,
10939,1600010939,65958,,RA,C,Testa di statuetta muliebre,,0,f,
10940,1600010940,65959,,RA,C,Testa di statuetta muliebre,,0,f,
10941,1600010941,65960,,RA,C,Testa di statuetta muliebre,,0,f,
10942,1600010942,65961,,RA,C,Testa di statuetta muliebre,,0,f,
10943,1600010943,65962,,RA,C,Testa di statuetta muliebre,,0,f,
10944,1600010944,65963,,RA,C,Testa di statuetta muliebre,,0,f,
10945,1600010945,65964,,RA,C,Testa di statuetta muliebre,,0,f,
10946,1600010946,65965,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10947,1600010947,65966,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10948,1600010948,65967,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10949,1600010949,65968,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10950,1600010950,65969,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10951,1600010951,65970,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10952,1600010952,65971,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10953,1600010953,65972,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10954,1600010954,65973,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10955,1600010955,65974,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10956,1600010956,65975,,RA,C,Rilievo raffigurante volto giovanile,,0,f,
10957,1600010957,65976,,RA,C,Rilievo raffigurante volto giovanile,,0,f,
10958,1600010958,65977,,RA,C,Rilievo raffigurante volto giovanile,,0,f,
10959,1600010959,65978,,RA,C,Rilievo raffigurante Dionysos-Hades ?,,0,f,
10960,1600010960,65979,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10961,1600010961,65980,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10962,1600010962,65981,,RA,C,Testa di giovane imberbe,,0,f,
10963,1600010963,65982,,RA,C,Testa di giovane imberbe,,0,f,
10964,1600010964,65983,,RA,C,Testa virile imberbe,,0,f,
10965,1600010965,65984,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10966,1600010966,65985,,RA,C,Testa di Dionysos-Hades,,0,f,
10967,1600010967,65986,,RA,C,Testa di Persephone-Hore,,0,f,
10968,1600010968,65987,,RA,C,Testa di Persephone-Hore,,0,f,
10969,1600010969,65988,,RA,C,Testa di Persephone-Hore,,0,f,
10970,1600010970,65989,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,0,f,
10971,1600010971,65990,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,1,f,
10972,1600010972,65991,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,0,f,
10973,1600010973,65992,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,0,f,
10974,1600010974,65993,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,0,f,
10975,1600010975,65994,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,0,f,
10976,1600010976,65995,,RA,C,Rilievo raffigurante Artemis-Bendis ?,,0,f,
10977,1600010977,65996,,RA,C,Rilievo raffigurante Dionysos-Hades,,0,f,
10978,1600010978,65997,,RA,C,Rilievo raffigurante Dionysos-Hades,,0,f,
10979,1600010979,65998,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10980,1600010980,65999,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10981,1600010981,66000,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
11170,0,,,,,,,1,f,
11171,0,,,,,,,1,f,
11172,0,,,,,,,1,f,
11173,0,,,,,,,1,f,
11174,0,,,,,,,1,f,
11175,0,,,,,,,1,f,
11176,0,,,,,,,1,f,
11177,0,,,,,,,1,f,
11178,0,,,,,,,1,f,
11179,0,,,,,,,1,f,
11180,0,,,,,,,1,f,
11181,0,,,,,,,1,f,
11182,0,,,,,,,1,f,
11183,0,,,,,,,1,f,
11184,0,,,,,,,1,f,
11185,0,,,,,,,1,f,
11186,0,,,,,,,1,f,
11187,0,,,,,,,1,f,
11188,0,,,,,,,1,f,
11189,0,,,,,,,1,f,
11190,0,,,,,,,1,f,
11191,0,,,,,,,1,f,
11192,0,,,,,,,1,f,
11193,0,,,,,,,1,f,
11194,0,,,,,,,1,f,
11195,0,,,,,,,1,f,
11196,0,,,,,,,1,f,
11197,0,,,,,,,1,f,
11198,0,,,,,,,1,f,
11199,0,,,,,,,1,f,
11200,0,,,,,,,1,f,
11201,0,,,,,,,1,f,
11202,0,,,,,,,1,f,
11203,0,,,,,,,1,f,
11204,0,,,,,,,1,f,
11205,0,,,,,,,1,f,
11206,0,,,,,,,1,f,
11207,0,,,,,,,1,f,
11208,0,,,,,,,1,f,
11209,0,,,,,,,1,f,
11210,0,,,,,,,1,f,
11211,0,,,,,,,1,f,
11212,0,,,,,,,1,f,
11213,0,,,,,,,1,f,
11214,0,,,,,,,1,f,
11215,0,,,,,,,1,f,
11216,0,,,,,,,1,f,
11217,0,,,,,,,1,f,
11218,0,,,,,,,1,f,
11219,0,,,,,,,1,f,
11220,0,,,,,,,1,f,
11221,0,,,,,,,1,f,
11222,0,,,,,,,1,f,
11223,0,,,,,,,1,f,
11224,0,,,,,,,1,f,
11225,0,,,,,,,1,f,
11226,0,,,,,,,1,f,
11227,0,,,,,,,1,f,
11228,0,,,,,,,1,f,
11229,0,,,,,,,1,f,
11230,0,,,,,,,1,f,
11231,0,,,,,,,1,f,
11232,0,,,,,,,1,f,
11233,0,,,,,,,1,f,
11234,0,,,,,,,1,f,
11235,0,,,,,,,1,f,
11236,0,,,,,,,1,f,
11237,0,,,,,,,1,f,
11238,0,,,,,,,1,f,
11239,0,,,,,,,1,f,
11240,0,,,,,,,1,f,
11241,0,,,,,,,1,f,
11242,0,,,,,,,1,f,
11243,0,,,,,,,1,f,
11244,0,,,,,,,1,f,
11245,0,,,,,,,1,f,
11246,0,,,,,,,1,f,
11247,0,,,,,,,1,f,
11248,0,,,,,,,1,f,
11249,0,,,,,,,1,f,
11250,0,,,,,,,1,f,
11251,0,,,,,,,1,f,
11252,0,,,,,,,1,f,
11253,0,,,,,,,1,f,
11254,0,,,,,,,1,f,
11255,0,,,,,,,1,f,
11256,0,,,,,,,1,f,
11257,0,,,,,,,1,f,
11258,0,,,,,,,1,f,
11259,0,,,,,,,1,f,
11260,0,,,,,,,1,f,
