id,scheda,misa,misl,misp
1534,,7,,
1535,,7,,
1536,,12.50,,
1537,,6,,
1538,,6,,
1539,,6,,
1540,,4.50,,
1541,,4.50,,
1542,,4.50,,
1543,,5,,
1544,,5,,
1545,,5,,
1546,,5,,
1547,,5,,
1548,,6,,
1549,,8.50,,
1550,,4,,
1551,,14,,
1552,,8,,
1553,,15.50,,
1554,,14.50,,
1555,,11.50,,
1556,,13.50,,
1557,,12.50,,
1558,,3,,
1559,,3,,
1560,,2.50,,
1561,,7,,
1562,,41,,
1563,,11.20,,
1564,,12,,
1565,,11,,
1566,,12.50,,
1567,,17,,
1568,,12,,
1569,,5.50,,
1570,,4.30,,
1571,,16,,
1572,,8.20,,
1573,,2,,
1574,,5.50,,
1575,,40,,
1576,,15.50,,
1577,,10,,
1578,,15.50,,
1579,,18.40,,
1580,,20,,
1581,,22,,
1582,,25.40,,
1583,,6,,
1584,,5.20,,
1586,,15.30,,
1587,,22,,
1588,,8,,
1589,,7.50,,
1590,,5.10,,
1591,,5,,
1593,,18.50,,
1594,,16.50,,
1595,,15,,
1596,,7,,
1602,,6,,
1603,,7,,
1604,,51.50,,
1605,,24.40,,
1606,,24.10,,
1607,,6.20,,
1608,,6,,
1611,,2.30,,
1612,,2,,
1646,,7.50,,
1647,,2.20,,
1648,,6,,
1656,,30,,
1657,,6,,
1658,,4.50,,
1659,,6,,
1660,,2.20,,
1661,,27,,
1662,,12,,
1663,,16.50,,
1664,,7.20,,
1665,,4.40,,
1666,,25.50,,
1667,,6.50,,
1668,,10,,
1669,,15.20,,
1698,,13,,
1701,,18,,
1703,,38.50,,
1715,,17.10,,
1716,,31.50,,
1717,,12,,
1718,,13,,
1719,,14,,
1720,,17.50,,
1721,,6.20,,
1722,,8.30,,
1723,,17.50,,
1724,,9.10,,
1766,,9.50,,
1767,,8.10,6.30,
1768,,18,,
1769,,9.10,,
1770,,2,3.50,
1771,,2,4,
1773,,2.20,,
