id,scheda,materia,tecnica
365,,48,Tecnica non presente in lista
366,,48,Tecnica non presente in lista
367,,48,Tecnica non presente in lista
368,,48,Tecnica non presente in lista
369,,48,Tecnica non presente in lista
370,,48,Tecnica non presente in lista
371,,48,Tecnica non presente in lista
372,,48,Tecnica non presente in lista
373,,48,Tecnica non presente in lista
374,,48,Tecnica non presente in lista
375,,48,Tecnica non presente in lista
376,,48,Tecnica non presente in lista
377,,48,Tecnica non presente in lista
381,,48,Tecnica non presente in lista
382,,48,Tecnica non presente in lista
384,,48,Tecnica non presente in lista
385,,48,Tecnica non presente in lista
386,,48,Tecnica non presente in lista
387,,48,Tecnica non presente in lista
388,,48,Tecnica non presente in lista
389,,48,Tecnica non presente in lista
390,,48,Tecnica non presente in lista
391,,48,Tecnica non presente in lista
392,,48,Tecnica non presente in lista
393,,48,Tecnica non presente in lista
394,,48,Tecnica non presente in lista
395,,48,Tecnica non presente in lista
396,,48,Tecnica non presente in lista
397,,48,Tecnica non presente in lista
398,,48,Tecnica non presente in lista
399,,48,Tecnica non presente in lista
400,,48,Tecnica non presente in lista
401,,48,Tecnica non presente in lista
402,,48,Tecnica non presente in lista
403,,48,Tecnica non presente in lista
404,,48,Tecnica non presente in lista
405,,48,Tecnica non presente in lista
406,,48,Tecnica non presente in lista
407,,48,Tecnica non presente in lista
408,,48,Tecnica non presente in lista
409,,48,Tecnica non presente in lista
410,,48,Tecnica non presente in lista
411,,48,Tecnica non presente in lista
412,,48,Tecnica non presente in lista
413,,48,Tecnica non presente in lista
414,,48,Tecnica non presente in lista
447,,48,Tecnica non presente in lista
448,,48,Tecnica non presente in lista
454,,48,Tecnica non presente in lista
458,,48,Tecnica non presente in lista
459,,48,Tecnica non presente in lista
460,,48,Tecnica non presente in lista
461,,48,Tecnica non presente in lista
468,,48,Tecnica non presente in lista
474,,48,Tecnica non presente in lista
501,,48,Tecnica non presente in lista
502,,48,Tecnica non presente in lista
513,,48,Tecnica non presente in lista
531,,48,Tecnica non presente in lista
532,,48,Tecnica non presente in lista
533,,48,Tecnica non presente in lista
534,,48,Tecnica non presente in lista
535,,48,Tecnica non presente in lista
536,,48,Tecnica non presente in lista
537,,48,Tecnica non presente in lista
538,,48,Tecnica non presente in lista
539,,48,Tecnica non presente in lista
540,,48,Tecnica non presente in lista
541,,48,Tecnica non presente in lista
542,,48,Tecnica non presente in lista
566,,48,Tecnica non presente in lista
567,,48,Tecnica non presente in lista
579,,48,Tecnica non presente in lista
580,,48,Tecnica non presente in lista
581,,48,Tecnica non presente in lista
582,,48,Tecnica non presente in lista
583,,48,Tecnica non presente in lista
584,,48,Tecnica non presente in lista
594,,48,Tecnica non presente in lista
596,,48,Tecnica non presente in lista
415,,48,Tecnica non presente in lista
416,,48,Tecnica non presente in lista
417,,48,Tecnica non presente in lista
419,,48,Tecnica non presente in lista
420,,48,Tecnica non presente in lista
421,,48,Tecnica non presente in lista
422,,48,Tecnica non presente in lista
423,,48,Tecnica non presente in lista
424,,48,Tecnica non presente in lista
425,,48,Tecnica non presente in lista
426,,48,Tecnica non presente in lista
427,,48,Tecnica non presente in lista
428,,48,Tecnica non presente in lista
429,,48,Tecnica non presente in lista
430,,48,Tecnica non presente in lista
493,,48,Tecnica non presente in lista
494,,48,Tecnica non presente in lista
495,,48,Tecnica non presente in lista
496,,48,Tecnica non presente in lista
503,,48,Tecnica non presente in lista
504,,48,Tecnica non presente in lista
563,,48,Tecnica non presente in lista
593,,53,Tecnica non presente in lista
50,,56,Tecnica non presente in lista
37,,60,Tecnica non presente in lista
24,,71,Tecnica non presente in lista
45,,71,Tecnica non presente in lista
185,,71,Tecnica non presente in lista
206,,83,Tecnica non presente in lista
515,,83,Tecnica non presente in lista
516,,83,Tecnica non presente in lista
546,,83,Tecnica non presente in lista
213,,83,Tecnica non presente in lista
32,,88,Tecnica non presente in lista
33,,88,Tecnica non presente in lista
103,,88,Tecnica non presente in lista
104,,88,Tecnica non presente in lista
121,,88,Tecnica non presente in lista
159,,88,Tecnica non presente in lista
160,,88,Tecnica non presente in lista
335,,94,Tecnica non presente in lista
1,,184,Tecnica non presente in lista
4,,184,Tecnica non presente in lista
5,,184,Tecnica non presente in lista
6,,184,Tecnica non presente in lista
7,,184,Tecnica non presente in lista
8,,184,Tecnica non presente in lista
10,,184,Tecnica non presente in lista
13,,184,Tecnica non presente in lista
14,,184,Tecnica non presente in lista
15,,184,Tecnica non presente in lista
36,,184,Tecnica non presente in lista
37,,184,Tecnica non presente in lista
39,,184,Tecnica non presente in lista
49,,184,Tecnica non presente in lista
51,,184,Tecnica non presente in lista
52,,184,Tecnica non presente in lista
96,,184,Tecnica non presente in lista
100,,184,Tecnica non presente in lista
101,,184,Tecnica non presente in lista
122,,184,Tecnica non presente in lista
163,,184,Tecnica non presente in lista
164,,184,Tecnica non presente in lista
169,,184,Tecnica non presente in lista
186,,184,Tecnica non presente in lista
187,,184,Tecnica non presente in lista
188,,184,Tecnica non presente in lista
189,,184,Tecnica non presente in lista
191,,184,Tecnica non presente in lista
195,,184,Tecnica non presente in lista
196,,184,Tecnica non presente in lista
197,,184,Tecnica non presente in lista
198,,184,Tecnica non presente in lista
199,,184,Tecnica non presente in lista
200,,184,Tecnica non presente in lista
201,,184,Tecnica non presente in lista
202,,184,Tecnica non presente in lista
203,,184,Tecnica non presente in lista
204,,184,Tecnica non presente in lista
205,,184,Tecnica non presente in lista
206,,184,Tecnica non presente in lista
207,,184,Tecnica non presente in lista
208,,184,Tecnica non presente in lista
209,,184,Tecnica non presente in lista
210,,184,Tecnica non presente in lista
211,,184,Tecnica non presente in lista
212,,184,Tecnica non presente in lista
216,,184,Tecnica non presente in lista
217,,184,Tecnica non presente in lista
218,,184,Tecnica non presente in lista
223,,184,Tecnica non presente in lista
224,,184,Tecnica non presente in lista
225,,184,Tecnica non presente in lista
226,,184,Tecnica non presente in lista
227,,184,Tecnica non presente in lista
237,,184,Tecnica non presente in lista
238,,184,Tecnica non presente in lista
239,,184,Tecnica non presente in lista
246,,184,Tecnica non presente in lista
247,,184,Tecnica non presente in lista
249,,184,Tecnica non presente in lista
251,,184,Tecnica non presente in lista
252,,184,Tecnica non presente in lista
253,,184,Tecnica non presente in lista
318,,184,Tecnica non presente in lista
321,,184,Tecnica non presente in lista
322,,184,Tecnica non presente in lista
378,,184,Tecnica non presente in lista
379,,184,Tecnica non presente in lista
380,,184,Tecnica non presente in lista
431,,184,Tecnica non presente in lista
432,,184,Tecnica non presente in lista
433,,184,Tecnica non presente in lista
434,,184,Tecnica non presente in lista
435,,184,Tecnica non presente in lista
436,,184,Tecnica non presente in lista
437,,184,Tecnica non presente in lista
438,,184,Tecnica non presente in lista
439,,184,Tecnica non presente in lista
440,,184,Tecnica non presente in lista
441,,184,Tecnica non presente in lista
442,,184,Tecnica non presente in lista
443,,184,Tecnica non presente in lista
444,,184,Tecnica non presente in lista
497,,184,Tecnica non presente in lista
498,,184,Tecnica non presente in lista
499,,184,Tecnica non presente in lista
506,,184,Tecnica non presente in lista
515,,184,Tecnica non presente in lista
516,,184,Tecnica non presente in lista
517,,184,Tecnica non presente in lista
518,,184,Tecnica non presente in lista
519,,184,Tecnica non presente in lista
520,,184,Tecnica non presente in lista
521,,184,Tecnica non presente in lista
522,,184,Tecnica non presente in lista
523,,184,Tecnica non presente in lista
524,,184,Tecnica non presente in lista
525,,184,Tecnica non presente in lista
546,,184,Tecnica non presente in lista
547,,184,Tecnica non presente in lista
548,,184,Tecnica non presente in lista
552,,184,Tecnica non presente in lista
553,,184,Tecnica non presente in lista
554,,184,Tecnica non presente in lista
555,,184,Tecnica non presente in lista
556,,184,Tecnica non presente in lista
557,,184,Tecnica non presente in lista
558,,184,Tecnica non presente in lista
559,,184,Tecnica non presente in lista
560,,184,Tecnica non presente in lista
561,,184,Tecnica non presente in lista
562,,184,Tecnica non presente in lista
585,,184,Tecnica non presente in lista
586,,184,Tecnica non presente in lista
587,,184,Tecnica non presente in lista
588,,184,Tecnica non presente in lista
589,,184,Tecnica non presente in lista
113,,184,Tecnica non presente in lista
213,,184,Tecnica non presente in lista
593,,186,Tecnica non presente in lista
65,,186,Tecnica non presente in lista
66,,186,Tecnica non presente in lista
67,,186,Tecnica non presente in lista
68,,186,Tecnica non presente in lista
69,,186,Tecnica non presente in lista
70,,186,Tecnica non presente in lista
71,,186,Tecnica non presente in lista
72,,186,Tecnica non presente in lista
73,,186,Tecnica non presente in lista
74,,186,Tecnica non presente in lista
75,,186,Tecnica non presente in lista
76,,186,Tecnica non presente in lista
77,,186,Tecnica non presente in lista
78,,186,Tecnica non presente in lista
79,,186,Tecnica non presente in lista
