id,scheda,misa,misl,misp,misn,misd
104,,8.3,,,,
577,,8.7,,,,
155,,9,,,,
230,,9,,,,
231,,9,,,,
579,,10,,,,
148,,10.5,,,,
576,,11.5,,,,
565,,12,,,,
580,,12.8,,,,
109,,14,,,,
139,,15.7,,,,
30,,16,,,,
165,,16.4,,,,
581,,17,,,,
42,,21.1,,,,
214,,21.5,,,,
215,,23.5,,,,
146,,24.5,,,,
