"scheda","dtsi","dtsf","start","end","id","value"
5240,-104,-104,-100,-1,29,"I secolo a.C."
5227,-106,-106,-100,-1,29,"I secolo a.C."
26570,-50,-100,0,99,30,"I  secolo d.C."
26571,-50,-100,0,99,30,"I  secolo d.C."
26572,-50,-100,0,99,30,"I  secolo d.C."
26573,-50,-100,0,99,30,"I  secolo d.C."
26574,-50,-100,0,99,30,"I  secolo d.C."
26575,-50,-100,0,99,30,"I  secolo d.C."
26576,-50,-100,0,99,30,"I  secolo d.C."
26577,-50,-100,0,99,30,"I  secolo d.C."
26578,-50,-100,0,99,30,"I  secolo d.C."
26579,-50,-100,0,99,30,"I  secolo d.C."
26580,-50,-100,0,99,30,"I  secolo d.C."
26581,-50,-100,0,99,30,"I  secolo d.C."
26582,-50,-100,0,99,30,"I  secolo d.C."
26583,-50,-100,0,99,30,"I  secolo d.C."
26584,-50,-100,0,99,30,"I  secolo d.C."
26585,-50,-100,0,99,30,"I  secolo d.C."
26586,-1,-100,0,99,30,"I  secolo d.C."
26587,-1,-100,0,99,30,"I  secolo d.C."
26588,-1,-100,0,99,30,"I  secolo d.C."
26589,-1,-100,0,99,30,"I  secolo d.C."
26590,-1,-100,0,99,30,"I  secolo d.C."
26591,-1,-100,0,99,30,"I  secolo d.C."
26592,-1,-100,0,99,30,"I  secolo d.C."
26593,-1,-100,0,99,30,"I  secolo d.C."
26594,-1,-100,0,99,30,"I  secolo d.C."
26595,-1,-100,0,99,30,"I  secolo d.C."
26596,-1,-100,0,99,30,"I  secolo d.C."
26597,-1,-100,0,99,30,"I  secolo d.C."
26598,-1,-100,0,99,30,"I  secolo d.C."
26599,-1,-100,0,99,30,"I  secolo d.C."
26600,-1,-100,0,99,30,"I  secolo d.C."
26601,-1,-100,0,99,30,"I  secolo d.C."
26602,-1,-100,0,99,30,"I  secolo d.C."
26603,-1,-100,0,99,30,"I  secolo d.C."
26604,-1,-100,0,99,30,"I  secolo d.C."
26605,-1,-100,0,99,30,"I  secolo d.C."
26606,-1,-100,0,99,30,"I  secolo d.C."
26607,-1,-100,0,99,30,"I  secolo d.C."
26608,-1,-100,0,99,30,"I  secolo d.C."
26609,-1,-100,0,99,30,"I  secolo d.C."
26612,-1,-100,0,99,30,"I  secolo d.C."
26613,-1,-100,0,99,30,"I  secolo d.C."
26614,-1,-100,0,99,30,"I  secolo d.C."
26615,-1,-100,0,99,30,"I  secolo d.C."
26616,-1,-100,0,99,30,"I  secolo d.C."
26617,-1,-100,0,99,30,"I  secolo d.C."
26618,-1,-100,0,99,30,"I  secolo d.C."
26619,-1,-100,0,99,30,"I  secolo d.C."
26620,-1,-100,0,99,30,"I  secolo d.C."
26621,-1,-100,0,99,30,"I  secolo d.C."
26622,-1,-100,0,99,30,"I  secolo d.C."
26623,-1,-100,0,99,30,"I  secolo d.C."
26624,-1,-100,0,99,30,"I  secolo d.C."
26625,-1,-100,0,99,30,"I  secolo d.C."
26626,-1,-100,0,99,30,"I  secolo d.C."
26627,-1,-100,0,99,30,"I  secolo d.C."
26628,-1,-100,0,99,30,"I  secolo d.C."
26629,-1,-100,0,99,30,"I  secolo d.C."
26630,-1,-100,0,99,30,"I  secolo d.C."
26631,-1,-100,0,99,30,"I  secolo d.C."
26632,-1,-100,0,99,30,"I  secolo d.C."
26633,-1,-100,0,99,30,"I  secolo d.C."
26634,-1,-100,0,99,30,"I  secolo d.C."
26635,-1,-100,0,99,30,"I  secolo d.C."
26636,-1,-100,0,99,30,"I  secolo d.C."
26637,-1,-100,0,99,30,"I  secolo d.C."
26638,-1,-100,0,99,30,"I  secolo d.C."
26639,-1,-100,0,99,30,"I  secolo d.C."
26640,-1,-100,0,99,30,"I  secolo d.C."
26641,-1,-100,0,99,30,"I  secolo d.C."
26642,-1,-100,0,99,30,"I  secolo d.C."
26643,-1,-100,0,99,30,"I  secolo d.C."
26644,-1,-100,0,99,30,"I  secolo d.C."
26645,-1,-100,0,99,30,"I  secolo d.C."
26646,-1,-100,0,99,30,"I  secolo d.C."
26647,-1,-100,0,99,30,"I  secolo d.C."
26648,-1,-100,0,99,30,"I  secolo d.C."
26649,-1,-100,0,99,30,"I  secolo d.C."
26650,-1,-100,0,99,30,"I  secolo d.C."
26651,-1,-100,0,99,30,"I  secolo d.C."
26652,-1,-100,0,99,30,"I  secolo d.C."
26653,-1,-100,0,99,30,"I  secolo d.C."
26654,-1,-100,0,99,30,"I  secolo d.C."
26655,-1,-100,0,99,30,"I  secolo d.C."
26656,-1,-100,0,99,30,"I  secolo d.C."
26657,-1,-100,0,99,30,"I  secolo d.C."
26658,-1,-100,0,99,30,"I  secolo d.C."
26659,-1,-100,0,99,30,"I  secolo d.C."
26660,-1,-100,0,99,30,"I  secolo d.C."
26661,-1,-100,0,99,30,"I  secolo d.C."
26662,-1,-100,0,99,30,"I  secolo d.C."
26663,-1,-100,0,99,30,"I  secolo d.C."
26664,-1,-100,0,99,30,"I  secolo d.C."
26665,-1,-100,0,99,30,"I  secolo d.C."
26666,-1,-100,0,99,30,"I  secolo d.C."
26667,-1,-100,0,99,30,"I  secolo d.C."
26668,-1,-100,0,99,30,"I  secolo d.C."
26669,-1,-100,0,99,30,"I  secolo d.C."
26670,-1,-100,0,99,30,"I  secolo d.C."
26671,-1,-100,0,99,30,"I  secolo d.C."
26672,-1,-100,0,99,30,"I  secolo d.C."
26673,-1,-100,0,99,30,"I  secolo d.C."
26674,-1,-100,0,99,30,"I  secolo d.C."
26675,-1,-100,0,99,30,"I  secolo d.C."
26676,-1,-100,0,99,30,"I  secolo d.C."
26677,-1,-100,0,99,30,"I  secolo d.C."
26678,-1,-100,0,99,30,"I  secolo d.C."
26679,-1,-100,0,99,30,"I  secolo d.C."
26680,-1,-100,0,99,30,"I  secolo d.C."
26681,-1,-100,0,99,30,"I  secolo d.C."
26682,-1,-100,0,99,30,"I  secolo d.C."
26683,-1,-100,0,99,30,"I  secolo d.C."
26684,-1,-100,0,99,30,"I  secolo d.C."
26685,-1,-100,0,99,30,"I  secolo d.C."
26686,-1,-100,0,99,30,"I  secolo d.C."
26687,-1,-100,0,99,30,"I  secolo d.C."
26688,-1,-100,0,99,30,"I  secolo d.C."
26689,-1,-100,0,99,30,"I  secolo d.C."
26690,-1,-100,0,99,30,"I  secolo d.C."
26691,-1,-100,0,99,30,"I  secolo d.C."
26692,-1,-100,0,99,30,"I  secolo d.C."
26693,-1,-100,0,99,30,"I  secolo d.C."
26694,-1,-100,0,99,30,"I  secolo d.C."
26695,-1,-100,0,99,30,"I  secolo d.C."
26696,-1,-100,0,99,30,"I  secolo d.C."
26697,-1,-100,0,99,30,"I  secolo d.C."
26698,-1,-100,0,99,30,"I  secolo d.C."
26699,-1,-100,0,99,30,"I  secolo d.C."
26700,-1,-100,0,99,30,"I  secolo d.C."
26701,-1,-100,0,99,30,"I  secolo d.C."
26702,-1,-100,0,99,30,"I  secolo d.C."
26703,-1,-100,0,99,30,"I  secolo d.C."
26704,-1,-100,0,99,30,"I  secolo d.C."
26705,-1,-100,0,99,30,"I  secolo d.C."
26706,-1,-100,0,99,30,"I  secolo d.C."
26707,-1,-100,0,99,30,"I  secolo d.C."
26708,-1,-100,0,99,30,"I  secolo d.C."
26709,-1,-100,0,99,30,"I  secolo d.C."
26710,-1,-100,0,99,30,"I  secolo d.C."
26711,-1,-100,0,99,30,"I  secolo d.C."
26712,-1,-100,0,99,30,"I  secolo d.C."
26713,-1,-100,0,99,30,"I  secolo d.C."
26714,-1,-100,0,99,30,"I  secolo d.C."
26715,-1,-100,0,99,30,"I  secolo d.C."
26716,-1,-100,0,99,30,"I  secolo d.C."
26717,-1,-100,0,99,30,"I  secolo d.C."
26718,-1,-100,0,99,30,"I  secolo d.C."
26719,-1,-100,0,99,30,"I  secolo d.C."
26720,-1,-100,0,99,30,"I  secolo d.C."
26721,-1,-100,0,99,30,"I  secolo d.C."
26722,-1,-100,0,99,30,"I  secolo d.C."
26723,-1,-100,0,99,30,"I  secolo d.C."
26724,-1,-100,0,99,30,"I  secolo d.C."
26725,-1,-100,0,99,30,"I  secolo d.C."
26726,-1,-100,0,99,30,"I  secolo d.C."
26727,-1,-100,0,99,30,"I  secolo d.C."
26728,-1,-100,0,99,30,"I  secolo d.C."
26729,-1,-100,0,99,30,"I  secolo d.C."
26730,-1,-100,0,99,30,"I  secolo d.C."
26731,-1,-100,0,99,30,"I  secolo d.C."
26732,-1,-100,0,99,30,"I  secolo d.C."
26733,-1,-100,0,99,30,"I  secolo d.C."
26734,-1,-100,0,99,30,"I  secolo d.C."
26739,-1,-100,0,99,30,"I  secolo d.C."
26740,-1,-100,0,99,30,"I  secolo d.C."
26741,-1,-100,0,99,30,"I  secolo d.C."
26742,-1,-100,0,99,30,"I  secolo d.C."
26743,-1,-100,0,99,30,"I  secolo d.C."
26744,-1,-100,0,99,30,"I  secolo d.C."
26745,-1,-100,0,99,30,"I  secolo d.C."
26746,-1,-100,0,99,30,"I  secolo d.C."
26747,-1,-100,0,99,30,"I  secolo d.C."
26748,-1,-100,0,99,30,"I  secolo d.C."
26749,-1,-100,0,99,30,"I  secolo d.C."
26750,-1,-100,0,99,30,"I  secolo d.C."
26751,-1,-100,0,99,30,"I  secolo d.C."
26752,-1,-100,0,99,30,"I  secolo d.C."
26753,-1,-100,0,99,30,"I  secolo d.C."
26754,-1,-100,0,99,30,"I  secolo d.C."
26755,-1,-100,0,99,30,"I  secolo d.C."
26756,-1,-100,0,99,30,"I  secolo d.C."
26757,-1,-100,0,99,30,"I  secolo d.C."
