id,dtm
335,16
336,16
337,16
338,16
339,13
340,13
341,13
342,16
343,16
344,16
345,16
346,16
347,16
348,16
349,16
350,16
351,16
352,16
353,16
354,16
355,13
356,13
357,13
358,13
359,13
360,13
361,16
362,13
363,13
364,13
365,13
366,13
367,13
368,13
369,13
370,13
371,13
372,13
373,13
374,13
375,13
376,11
377,16
378,13
379,13
380,13
381,13
382,13
383,13
384,13
385,13
386,13
387,13
388,8
389,15
390,11
391,11
392,15
393,15
394,15
395,15
396,15
397,15
398,13
399,15
400,15
401,15
402,15
403,15
403,16
404,15
405,16
406,16
407,16
408,16
409,16
410,16
411,16
412,16
413,16
414,16
415,16
416,16
417,16
418,16
419,16
420,13
421,13
422,13
423,13
424,13
425,13
426,13
426,16
427,13
427,16
428,13
428,16
429,8
430,13
430,16
431,13
431,16
432,13
432,16
433,13
433,16
434,13
434,16
435,8
436,13
436,16
437,13
437,16
438,13
438,16
439,13
439,16
440,13
440,16
441,13
441,16
442,13
442,16
443,13
443,16
444,13
444,16
445,13
445,16
446,13
446,16
447,13
447,16
448,13
448,16
449,13
449,16
450,13
450,16
451,13
451,16
452,13
452,16
453,13
453,16
454,8
455,8
456,8
457,8
458,8
459,8
460,8
461,13
461,16
462,13
462,16
463,13
463,16
464,13
464,16
465,13
465,16
466,13
466,16
467,13
467,16
468,13
468,16
469,13
469,16
470,13
470,16
471,13
471,16
472,13
472,16
473,13
473,16
474,13
474,16
475,13
475,16
476,13
476,16
477,13
477,16
478,13
478,16
479,13
479,16
480,13
480,16
481,13
481,16
482,13
482,16
483,13
483,16
484,13
484,16
485,13
485,16
486,13
486,16
487,13
487,16
488,13
488,16
489,13
489,16
490,13
490,16
491,13
491,16
492,13
492,16
493,13
493,16
494,13
494,16
495,13
495,16
496,13
496,16
497,13
497,16
498,13
498,16
499,13
499,16
500,13
500,16
501,13
501,16
502,13
502,16
503,13
503,16
504,13
505,13
506,13
507,13
508,13
508,16
509,13
510,13
511,13
512,13
513,13
514,8
514,11
515,8
515,11
516,8
516,11
517,8
517,11
518,8
518,11
519,8
519,11
520,8
520,11
521,8
521,11
522,8
522,11
523,13
524,13
525,13
526,13
527,8
527,11
528,8
528,11
529,8
529,11
530,8
530,11
531,8
531,11
532,8
532,11
533,8
533,11
534,8
534,11
535,8
535,11
536,8
536,11
537,8
537,11
538,8
538,11
539,8
539,11
540,8
540,11
541,8
541,11
542,8
542,11
543,8
543,11
544,8
544,11
545,8
545,11
546,8
546,11
547,8
547,11
548,8
548,11
549,8
549,11
550,8
550,11
551,13
551,16
552,8
553,13
554,13
555,13
556,13
557,13
558,8
558,11
559,8
559,11
560,16
561,16
562,16
563,8
563,11
564,13
565,13
566,13
567,13
568,13
569,13
570,13
571,13
572,13
573,13
574,13
575,13
576,13
577,13
578,13
579,13
580,13
581,13
582,13
583,13
584,13
585,13
586,13
587,13
588,13
589,13
590,13
591,13
592,15
593,13
594,13
595,13
596,13
597,13
598,13
599,13
600,13
601,13
602,13
603,13
604,13
605,13
