nctn,stis,stid
358702,500,ante 2022
358703,500,ante 2022
358704,500,ante 2022
358705,500,ante 2022
358706,500,ante 2022
358707,500,ante 2022
358708,500,ante 2022
358709,500,ante 2022
358710,500,ante 2022
358711,500,ante 2022
358712,500,ante 2022
358713,500,ante 2022
358714,500,ante 2022
358715,500,ante 2022
358716,500,ante 2022
358717,500,ante 2022
358718,500,ante 2022
358719,500,ante 2022
358720,500,ante 2022
358721,500,ante 2022
358722,500,ante 2022
358723,500,ante 2022
358724,500,ante 2022
358725,500,ante 2022
358726,500,ante 2022
358727,500,ante 2022
358728,500,ante 2022
358729,500,ante 2022
358730,500,ante 2022
358731,500,ante 2022
358732,500,ante 2022
358733,500,ante 2022
358734,500,ante 2022
358735,500,ante 2022
358736,500,ante 2022
358737,500,ante 2022
358738,500,ante 2022
358739,500,ante 2022
358740,500,ante 2022
358741,500,ante 2022
358742,500,ante 2022
358743,500,ante 2022
358744,500,ante 2022
358745,500,ante 2022
358746,500,ante 2022
358747,500,ante 2022
358748,500,ante 2022
358749,500,ante 2022
358750,500,ante 2022
358751,500,ante 2022
358752,500,ante 2022
358753,500,ante 2022
358754,500,ante 2022
358755,500,ante 2022
358756,500,ante 2022
358757,500,ante 2022
358758,500,ante 2022
358759,500,ante 2022
324750,500,2008
324751,500,2008
324752,500,2008
324753,500,2008
324754,500,2008
324755,500,2008
324756,500,2008
324757,500,2008
324758,500,2008
324759,500,2008
324760,500,2008
324761,500,2008
324762,500,2008
324763,500,2008
324764,500,2008
324765,500,2008
324766,500,2008
324767,500,2008
324768,500,2008
324769,500,2008
324770,500,2008
324771,500,2008
324772,500,2008
324773,500,2008
324774,500,2008
324775,500,2008
324776,500,2008
324777,500,2008
324778,500,2008
324779,500,2008
324780,500,2008
324781,500,2008
324782,500,2008
324783,500,2008
324784,500,2008
324785,500,2008
324786,500,2008
324787,500,2008
324788,500,2008
324789,500,2008
324790,500,2008
324791,500,2008
324792,500,2008
324793,500,2008
324794,500,2008
324795,500,2008
324796,500,2008
324797,500,2008
324798,500,2008
324799,500,2008
324800,500,2008
324801,500,2008
324802,500,2008
324803,500,2008
324804,500,2008
324805,500,2008
324806,500,2008
324807,500,2008
324808,500,2008
324809,500,2008
324810,500,2008
324811,500,2008
324812,100,2008
324813,100,2008
324814,100,2008
324815,100,2008
324816,100,2008
324817,100,2008
324818,100,2008
324819,100,2008
324820,100,2008
324821,100,2008
324822,100,2008
324823,100,2008
324824,100,2008
324825,100,2008
324826,100,2008
324827,100,2008
324828,100,2008
324829,100,2008
324830,100,2008
324831,100,2008
324832,100,2008
324833,100,2008
324834,100,2008
324835,100,2008
324837,100,2008
324838,100,2008
324839,100,2008
324840,100,2008
324841,100,2008
324842,100,2008
324843,100,2008
324844,100,2008
324845,100,2008
324846,100,2008
324847,100,2008
324848,100,2008
324849,100,2008
324850,100,2008
324851,100,2008
324852,100,2008
324853,100,2008
324854,100,2008
324855,100,2008
324856,100,2008
324857,100,2008
324858,100,2008
324859,100,2008
324860,100,2008
324861,100,2008
324862,100,2008
324863,100,2008
324864,100,2008
