scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
126,,,173,39,,pp. 476-477 44808,,4
126,,5,,44,,p. 257,13.04,4
127,,,173,39,,pp. 476-477 44808,,4
127,,5,,44,,p. 257,13.04,4
132,,,161,,,p. 203,,4
132,,1,,2,,p. 295,fig. 146,4
133,,11,,64,,p.494,Tav. CXV.37.14p,4
134,,11,,64,,p.494,Tav. CXV.37.14p,4
135,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
135,,13,,72,,p. 467,,4
136,,,173,39,,pp. 476-477 44808,,4
136,,5,,44,,p. 257,13.04,4
137,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
137,,13,,72,,p. 467,,4
138,,,173,39,,pp. 476-477 44808,,4
138,,5,,44,,p. 257,13.04,4
139,,,173,39,,pp. 476-477 44808,,4
139,,5,,44,,p. 257,13.05,4
140,,11,,65,,pp. 313-315,,4
141,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
141,,13,,72,,p. 467,,4
142,,,161,,,p. 173,29.10,4
142,,,173,32,,p. 504 9,,4
143,,20,,86,,pp. 88-89,,4
144,,,173,35,,p. 456 4,,4
144,,,178,,,p. 174,E1-19,4
145,,,173,34,,pp. 502-503,,4
145,,,178,,,p. 210,E3-37,4
146,,,173,34,,pp. 502-503,,4
146,,,178,,,p. 210,E3-37,4
147,,,173,33,,pp. 501-502,,4
147,,11,,66,,pp. 325-328,,4
148,,,173,33,,pp. 501-502,,4
148,,11,,66,,pp. 325-328,,4
149,,,173,33,,pp. 501-502,,4
149,,11,,66,,pp. 325-328,,4
150,,,173,33,,pp. 501-502,,4
150,,11,,66,,pp. 325-328,,4
151,,,173,33,,pp. 501-502,,4
151,,11,,66,,pp. 325-328,,4
152,,,161,,,p. 109,9.26,4
152,,,173,38,,p. 488 14,,4
153,,,161,,,p. 74,3.11,4
153,,,173,36,,p. 464 8,,4
158,,,173,39,,pp. 476-477 44808,,4
158,,5,,44,,p. 257,13.05,4
159,,,161,,,p. 207,48.5,4
159,,11,,67,,p. 138,Tav. XXII.13.5j,4
160,,,161,,,p. 207,48.5,4
160,,11,,67,,p. 138,Tav. XXII.13.5j,4
165,,,161,,,p. 203,,4
165,,1,,2,,p. 295,fig. 146,4
168,,2,,,,p. 104,,4
168,,5,,44,,p. 138,Abb. 146,4
169,,,173,39,,p. 478 17,,4
169,,5,,44,,p. 138,Abb. 147,4
170,,,173,39,,p. 478 19,,4
170,,5,,44,,p. 256,12.6,4
171,,,173,39,,p. 480 28,,4
171,,5,,44,,p. 256,12.20,4
172,,,173,39,,p. 478 18,,4
172,,5,,44,,p. 256,12.3,4
173,,9,,48,,p. 804,,4
173,,7,,45,,pp. 403-407,,4
174,,9,,48,,p. 804,,4
174,,7,,45,,pp. 403-407,,4
176,,,161,,,p. 215,51.10,4
176,,11,,63,,p. 203,Tav. XLI.17.8ah,4
177,,,161,,,p. 215,51.10,4
177,,11,,63,,p. 203,Tav. XLI.17.8ah,4
178,,,161,,,p. 215,51.10,4
178,,11,,63,,p. 203,Tav. XLI.17.8ah,4
179,,,161,,,p. 224,,4
180,,,161,,,p. 215,51.10,4
180,,11,,63,,p. 203,Tav. XLI.17.8ah,4
181,,,161,,,p. 215,51.10,4
181,,11,,63,,p. 203,Tav. XLI.17.8ah,4
182,,,161,,,p. 215,51.10,4
182,,11,,63,,p. 203,Tav. XLI.17.8ah,4
184,,9,,48,,p. 804,,4
184,,7,,45,,pp. 403-407,,4
185,,3,,42,,p. 353,fig. 423,4
186,,,56,73,,p. 163,fig. 147,4
187,,3,,42,,p. 353,fig. 424,4
189,,,161,,,p. 196,38.11,4
189,,5,,44,,p. 258,20.21,4
192,,,56,74,,p. 321,fig. 245,4
192,,3,,41,,p. 330,fig. 392,4
193,,5,,44,,p. 268,77.3,4
194,,,178,,,p. 154,D-13,4
194,,5,,44,,p. 262,46.24.00,4
197,,,161,,,pp. 173-175,29.11,4
197,,,173,32,,p. 504 8,,4
198,,,161,,,p. 175,29.12,4
198,,,173,32,,p. 504 10,,4
200,,,173,39,,p. 481 47,,4
200,,5,,44,,p. 256,12.44,4
201,,,173,60,,p. 359 cat. 327,,4
201,,11,,67,,p. 134,Tav. XXI.13.3b,4
202,,,173,,,p.266,,4
202,,11,,67,,p. 146,Tav. XXIII.13.13d,4
203,,,173,39,,p. 481 30,,4
203,,5,,44,,p. 256,12.24,4
204,,12,,71,,p. 664,Fig. 680,4
208,,3,,41,,p. 324,fig. 382,4
208,,12,,71,,p. 664,Fig. 680,4
209,,,161,,,p. 196,38.3,4
209,,5,,44,,p. 258,20.28,4
211,,11,,64,,p.492,Tav. CXIV.37.14d,4
212,,,161,,,p. 113,9.47,4
212,,,173,38,,p. 491 46,,4
213,,,161,,,p. 113,9.48,4
213,,,173,38,,p. 491 47,,4
214,,,161,,,p. 113,9.51,4
214,,,173,38,,p. 492 50,,4
215,,,161,,,p. 113,9.50,4
215,,,173,38,,p. 492 49,,4
216,,,161,,,p. 113,9.49,4
216,,,173,38,,p. 491 48,,4
217,,,161,,,p. 115,9.59,4
217,,,173,38,,p. 493 59,,4
218,,,173,51,,p. 300 cat. 239,,4
218,,,178,,,p. 185,E2-9,4
219,,,155,3,,pp. 113-114,,4
220,,,161,,,p. 111,9.40,4
220,,,173,38,,p. 468,6,4
221,,,161,,,p. 203,,4
221,,1,,2,,p. 295,fig. 146,4
222,,,150,75,,pp. 416-417,,4
222,,,174,84,,pp. 87-94,,4
223,,,150,75,,pp. 416-417,,4
223,,,174,84,,pp. 87-94,,4
224,,,161,,,p. 196,38.6,4
224,,5,,44,,p. 258,,4
225,,,161,,,p. 196,38.6,4
225,,5,,44,,p. 258,,4
226,,,161,,,p. 196,38.6,4
226,,5,,44,,p. 258,,4
227,,,161,,,p. 196,38.6,4
227,,5,,44,,p. 258,,4
228,,,161,,,p. 196,38.6,4
228,,5,,44,,p. 258,,4
229,,,161,,,p. 196,38.6,4
229,,5,,44,,p. 258,,4
230,,,161,,,p. 196,38.6,4
230,,5,,44,,p. 258,,4
231,,12,,71,,p. 651,Fig. 670,4
232,,12,,71,,p. 651,Fig. 670,4
233,,12,,71,,p. 651,Fig. 670,4
234,,12,,71,,p. 651,Fig. 670,4
235,,12,,71,,p. 651,Fig. 670,4
236,,12,,71,,p. 651,Fig. 670,4
237,,,173,16,,p. 294,cat. 222,4
238,,11,,67,,p. 132,Tav. XXI.13.1.c,4
239,,13,,72,,p. 467,,4
239,,11,,63,,p. 211,Tav. XLIII.17.12i,4
240,,13,,72,,p. 467,,4
240,,11,,63,,p. 211,Tav. XLIII.17.12i,4
241,,13,,72,,p. 467,,4
241,,11,,63,,p. 211,Tav. XLIII.17.12i,4
242,,13,,72,,p. 467,,4
242,,11,,63,,p. 211,Tav. XLIII.17.12i,4
243,,13,,72,,p. 467,,4
243,,11,,63,,p. 211,Tav. XLIII.17.12i,4
244,,13,,72,,p. 467,,4
244,,11,,63,,p. 211,Tav. XLIII.17.12i,4
245,,13,,72,,p. 467,,4
245,,11,,63,,p. 211,Tav. XLIII.17.12i,4
246,,13,,72,,p. 467,,4
246,,11,,63,,p. 211,Tav. XLIII.17.12i,4
247,,13,,72,,p. 467,,4
247,,11,,63,,p. 211,Tav. XLIII.17.12i,4
248,,13,,72,,p. 467,,4
248,,11,,63,,p. 211,Tav. XLIII.17.12i,4
249,,13,,72,,p. 467,,4
249,,11,,63,,p. 211,Tav. XLIII.17.12i,4
250,,13,,72,,p. 467,,4
250,,11,,63,,p. 211,Tav. XLIII.17.12i,4
251,,13,,72,,p. 467,,4
251,,11,,63,,p. 211,Tav. XLIII.17.12i,4
252,,13,,72,,p. 467,,4
252,,11,,63,,p. 211,Tav. XLIII.17.12i,4
253,,13,,72,,p. 467,,4
253,,11,,63,,p. 211,Tav. XLIII.17.12i,4
258,,,161,,,p. 109,9.31,4
258,,,173,38,,p. 494,72,4
259,,,161,,,p. 109,9.31,4
259,,,173,38,,p. 490,43,4
260,,,161,,,p. 109,9.31,4
260,,,173,38,,p. 490,43,4
261,,,161,,,p. 109,9.31,4
261,,,173,38,,p. 490,43,4
262,,,161,,,p. 109,9.31,4
262,,,173,38,,p. 490,43,4
263,,,161,,,p. 109,9.31,4
263,,,173,38,,p. 490,43,4
264,,,161,,,p. 109,9.31,4
264,,,173,38,,p. 490,43,4
265,,,161,,,p. 109,9.31,4
265,,,173,38,,p. 490,43,4
266,,,161,,,p. 109,9.29,4
266,,,173,38,,p. 490,43,4
267,,,161,,,p. 109,9.29,4
267,,,173,38,,p. 490,35,4
268,,,161,,,p. 109,9.29,4
268,,,173,38,,p. 490,35,4
269,,,161,,,p. 109,9.29,4
269,,,173,38,,p. 490,35,4
270,,,161,,,p. 109,9.29,4
270,,,173,38,,p. 490,35,4
271,,,161,,,p. 109,9.29,4
271,,,173,38,,p. 490,35,4
272,,,161,,,p. 109,9.29,4
272,,,173,38,,p. 490,35,4
274,,,178,,,p. 207,E3-26,4
274,,5,,44,,p. 267,,4
278,,,161,,,p. 115,10,4
278,,,173,38,,p. 490,35,4
279,,2,,,,p. 106,,4
279,,7,,45,,403-407,,4
281,,12,,71,,p. 651,Fig. 670,4
282,,11,,64,,p. 496,TAV. CV.37.15.f,4
283,,7,,45,,403-407,,4
283,,9,,48,,p. 804,,4
286,,13,,72,,p. 467,,4
286,,11,,63,,p. 211,Tav. XLIII.17.12i,4
287,,13,,72,,p. 467,,4
287,,11,,63,,p. 211,Tav. XLIII.17.12h,4
288,,13,,72,,p. 467,,4
288,,11,,63,,p. 211,Tav. XLIII.17.12h,4
289,,13,,72,,p. 467,,4
289,,11,,63,,p. 211,Tav. XLIII.17.12h,4
290,,13,,72,,p. 467,,4
290,,11,,63,,p. 211,Tav. XLIII.17.12h,4
291,,13,,72,,p. 467,,4
291,,11,,63,,p. 211,Tav. XLIII.17.12h,4
292,,13,,72,,p. 467,,4
292,,11,,63,,p. 211,Tav. XLIII.17.12h,4
293,,13,,72,,p. 467,,4
293,,11,,63,,p. 211,Tav. XLIII.17.12h,4
294,,13,,72,,p. 467,,4
294,,11,,63,,p. 211,Tav. XLIII.17.12h,4
295,,13,,72,,p. 467,,4
295,,11,,63,,p. 211,Tav. XLIII.17.12h,4
296,,13,,72,,p. 467,,4
296,,11,,63,,p. 211,Tav. XLIII.17.12h,4
297,,13,,72,,p. 467,,4
297,,11,,63,,p. 211,Tav. XLIII.17.12h,4
298,,13,,72,,p. 467,,4
298,,11,,63,,p. 211,Tav. XLIII.17.12h,4
299,,13,,72,,p. 467,,4
299,,11,,63,,p. 211,Tav. XLIII.17.12h,4
304,,2,,,,p. 106,,4
304,,7,,45,,403-407,,4
305,,,161,,,p. 109,9.30,4
305,,,173,38,,p. 493,68,4
306,,,161,,,p. 109,9.30,4
306,,,173,38,,p. 490,37,4
307,,,161,,,p. 109,9.30,4
307,,,173,38,,p. 490,37,4
308,,,161,,,p. 109,9.30,4
308,,,173,38,,p. 490,37,4
309,,,161,,,p. 109,9.30,4
309,,,173,38,,p. 490,37,4
310,,,161,,,p. 109,9.30,4
310,,,173,38,,p. 490,37,4
311,,,161,,,p. 109,9.30,4
311,,,173,38,,p. 490,37,4
312,,,161,,,p. 109,9.30,4
312,,,173,38,,p. 490,37,4
