scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
2021,,,178,,,p. 174,E1-19,4
2022,,,173,,62,p. 468 4,,4
2023,,,173,35,,p. 457-458 22,,4
2023,,,178,,,p. 174,E1-19,4
2024,,,173,35,,p. 458 23,,4
2024,,,178,,,p. 174,E1-19,4
2025,,,173,35,,p. 458 24,,4
2025,,,178,,,p. 174,E1-19,4
2026,,,173,35,,p. 458 25,,4
2026,,,178,,,p. 174,E1-19,4
2027,,,173,35,,p. 458 26,,4
2027,,,178,,,p. 174,E1-19,4
2028,,,173,35,,p. 458 27,,4
2028,,,178,,,p. 174,E1-19,4
2029,,,173,35,,p. 458 28,,4
2029,,,178,,,p. 174,E1-19,4
2030,,,173,34,,pp. 502-503,,4
2030,,,178,,,p. 210,E3-37,4
2031,,,173,34,,pp. 502-503,,4
2031,,,178,,,p. 210,E3-37,4
2032,,,173,34,,pp. 502-503,,4
2032,,,178,,,p. 210,E3-37,4
2033,,,173,34,,pp. 502-503,,4
2033,,,178,,,p. 210,E3-37,4
2034,,,173,34,,pp. 502-503,,4
2034,,,178,,,p. 210,E3-37,4
2035,,,173,34,,pp. 502-503,,4
2035,,,178,,,p. 210,E3-37,4
2037,,14,,78,,p. 85,,4
2037,,15,,79,,p. 132,Fig 47.,4
2037,,12,,71,,p. 703,Fig. 728,4
2038,,,173,50,,p. 348,,4
2039,,15,,79,,p. 132,Fig 47.,4
2039,,12,,71,,p. 703,Fig. 728,4
2040,,3,,42,,p. 389,fig. 479,4
2040,,15,,79,,p. 132,Fig 47.,4
2041,,15,,79,,p. 132,Fig 47.,4
2041,,12,,71,,p. 703,Fig. 728,4
2042,,,173,27,,pp. 365-366 cat. 356,,4
2042,,,178,,,p. 174,E1-19,4
2043,,,173,27,,pp. 365-366 cat. 356,,4
2043,,,178,,,p. 174,E1-19,4
2044,,,173,27,,pp. 365-366 cat. 356,,4
2044,,,178,,,p. 174,E1-19,4
2045,,,173,27,,pp. 365-366 cat. 356,,4
2045,,,178,,,p. 174,E1-19,4
2046,,,56,,97,p. 343,fig. 286,4
2046,,,161,,,p. 192,37.13,4
2047,,,161,,,p. 203,,4
2047,,1,,2,,p. 295,fig. 146,4
2048,,,161,,,p. 203,,4
2048,,1,,2,,p. 295,fig. 146,4
2049,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
2049,,13,,72,,p. 467,,4
2050,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
2050,,13,,72,,p. 467,,4
2051,,11,,64,,p.495,Tav. CXVII.37.14s,4
2052,,,173,33,,pp. 501-502,,4
2052,,11,,66,,pp. 325-328,,4
2053,,,161,,,p. 175,29.14,4
2053,,,173,32,,p. 504 12,,4
2054,,,161,,,p. 203,,4
2054,,1,,2,,p. 295,fig. 146,4
2055,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
2055,,13,,72,,p. 467,,4
2056,,,173,27,,pp. 365-366 cat. 356,,4
2056,,,178,,,p. 174,E1-19,4
2057,,,178,,,p. 211,E3-39,4
2057,,11,,66,,pp. 344-345,Tav. LXII.30.11bn,4
2058,,,178,,,p. 211,E3-39,4
2058,,11,,66,,p. 345,Tav. LXII.30.11bn,4
2059,,,178,,,p. 211,E3-39,4
2059,,11,,66,,p. 345,Tav. LXII.30.11bn,4
2060,,,173,33,,pp. 501-502,,4
2060,,11,,66,,pp. 325-328,,4
2061,,,173,33,,pp. 501-502,,4
2061,,11,,66,,pp. 325-328,,4
2062,,,173,33,,pp. 501-502,,4
2062,,11,,66,,pp. 325-328,,4
2063,,,173,33,,pp. 501-502,,4
2063,,11,,66,,pp. 325-328,,4
2064,,,173,33,,pp. 501-502,,4
2064,,11,,66,,pp. 325-328,,4
2065,,,173,33,,pp. 501-502,,4
2065,,11,,66,,pp. 325-328,,4
2066,,,173,33,,pp. 501-502,,4
2066,,11,,66,,pp. 325-328,,4
2067,,,173,33,,pp. 501-502,,4
2067,,11,,66,,pp. 325-328,,4
2068,,,173,34,,pp. 502-503,,4
2068,,,178,,,p. 210,E3-37,4
2069,,,173,34,,pp. 502-503,,4
2069,,,178,,,p. 210,E3-37,4
2070,,,173,34,,pp. 502-503,,4
2070,,,178,,,p. 210,E3-37,4
2071,,,173,34,,pp. 502-503,,4
2071,,,178,,,p. 210,E3-37,4
2072,,,173,34,,pp. 502-503,,4
2072,,,178,,,p. 210,E3-37,4
2073,,,173,34,,pp. 502-503,,4
2073,,,178,,,p. 210,E3-37,4
2074,,,173,34,,pp. 502-503,,4
2074,,,178,,,p. 210,E3-37,4
2077,,,56,73,,p. 170,fig. 158,4
2077,,10,,49,,pp. 376-377,,4
2078,,,56,73,,p. 170,fig. 158,4
2078,,10,,49,,pp. 376-377,,4
2079,,,56,73,,p. 170,fig. 158,4
2079,,10,,49,,pp. 376-377,,4
2080,,,56,73,,p. 170,fig. 158,4
2080,,10,,49,,pp. 376-377,,4
2081,,,173,34,,pp. 502-503,,4
2081,,,178,,,p. 210,E3-37,4
2082,,,56,73,,p. 170,fig. 158,4
2082,,10,,49,,pp. 376-377,,4
2083,,,56,73,,p. 170,fig. 158,4
2083,,10,,49,,pp. 376-377,,4
2084,,,56,73,,p. 170,fig. 158,4
2084,,10,,49,,pp. 376-377,,4
2085,,,161,,,pp. 207-209,48.12,4
2085,,11,,67,,p. 137,Tav. XXII.13.5e,4
2086,,,173,50,,p. 348,,4
2088,,,161,,,p. 203,,4
2088,,1,,2,,p. 295,fig. 146,4
2089,,,161,,,p. 80,4.9,4
2089,,,173,37,,p. 468 6a,,4
2090,,,173,27,,pp. 365-366 cat. 356,,4
2090,,,178,,,p. 174,E1-19,4
2091,,,173,35,,p. 456 10,,4
2091,,,178,,,p. 174,E1-19,4
2092,,15,,79,,p. 132,,4
2093,,,95,4,,pp. 56-57,,4
2093,,19,,85,,p. 212,,4
2094,,9,,48,,p. 804,,4
2094,,7,,45,,pp. 403-407,,4
2095,,,161,,,p. 203,,4
2095,,1,,2,,p. 295,fig. 146,4
2096,,17,,80,,p. 52,,4
2097,,5,,44,,p. 268,82.16.00,4
2098,,,173,34,,pp. 502-503,,4
2098,,,178,,,28-29,,4
2099,,,56,,97,p. 343,fig. 286,4
2099,,,161,,,p. 195,37.17,4
2100,,,173,34,,pp. 502-503,,4
2100,,,178,,,p. 210,E3-37,4
2102,,7,,45,,403-407,,4
2102,,9,,48,,p. 804,,4
2105,,8,,46,,pp. 854-855,,4
2109,,3,,41,,p. 324,fig. 383,4
2109,,12,,71,,p. 664,Fig. 680,4
2112,,,270,,47,pp. 186-187,,4
2112,,17,,80,,p. 56,,4
2113,,,270,,47,pp. 186-187,,4
2113,,17,,80,,p. 56,,4
2125,,12,,71,,p. 667,Fig. 686,4
