id_temp,scheda,materia,tecnica
503,,25,modellatura a tornio
504,,25,modellatura a tornio
505,,26,a intaglio
506,,25,modellatura a tornio
507,,272,soffiatura a stampo
508,,272,soffiatura a stampo
509,,34,fusione
510,,22,fusione
511,,71,fusione
512,,71,fusione
513,,71,fusione
514,,34,fusione
515,,71,fusione
516,,71,"fusione, battitura a caldo"
517,,71,"fusione, battitura a caldo"
518,,71,"fusione, battitura a caldo"
519,,71,"fusione, battitura a caldo"
520,,272,soffiatura libera
521,,272,soffiatura libera
522,,272,soffiatura libera
523,,272,soffiatura libera
524,,272,soffiatura a stampo
525,,25,"a mano, doratura a foglia"
525,,34,"fusione, doratura a foglia"
526,,34,"fusione, doratura a foglia"
526,,184,"a sbalzo per impressione, ritaglio"
527,,184,"a sbalzo per impressione, ritaglio"
528,,272,soffiatura a stampo
529,,272,soffiatura libera
530,,186,a intaglio
531,,272,a stampo
532,,272,a stampo
533,,272,a stampo
534,,25,a matrice
535,,272,a stampo
536,,272,a stampo
537,,272,a stampo
538,,34,fusione
538,,71,fusione
539,,272,soffiatura libera
540,,186,a intaglio
541,,34,fusione
542,,34,fusione
543,,34,fusione
544,,34,fusione
545,,186,"a intaglio, doratura a foglia"
545,,272,colatura libera
546,,186,a intaglio
547,,186,a intaglio
548,,25,a matrice
549,,25,a matrice
550,,272,soffiatura libera
551,,272,soffiatura libera
552,,25,modellatura a tornio
553,,272,soffiatura libera
554,,34,fusione
555,,22,a sbalzo
555,,225,battitura a caldo
556,,22,a sbalzo
557,,184,"ritaglio, a sbalzo per impressione"
558,,184,"ritaglio, a sbalzo per impressione"
559,,184,"ritaglio, a sbalzo per impressione"
560,,186,a intaglio
561,,272,a stampo
562,,22,fusione
563,,34,fusione
563,,186,a intaglio
564,,34,fusione
565,,34,fusione
565,,186,a intaglio
566,,34,"fusione, argentatura"
567,,34,fusione
568,,272,soffiatura libera
569,,34,fusione
569,,186,a intaglio
570,,34,fusione
570,,186,a intaglio
571,,186,a intaglio
572,,186,a intaglio
573,,53,Tecnica non presente in lista
574,,34,"fusione, argentatura"
575,,34,fusione
576,,186,a intaglio
577,,34,fusione
578,,22,fusione
579,,34,fusione
580,,272,soffiatura libera
581,,272,soffiatura libera
582,,272,soffiatura libera
583,,71,"fusione, battitura a caldo"
584,,71,"fusione, battitura a caldo"
585,,22,fusione
586,,272,soffiatura libera
587,,272,soffiatura libera
588,,186,a intaglio
589,,71,"fusione, battitura a caldo"
590,,186,a intaglio
591,,25,a matrice
592,,71,"fusione, battitura a caldo"
593,,186,a intaglio
594,,34,fusione
595,,34,fusione
596,,34,fusione
597,,186,a intaglio
598,,25,modellatura a tornio
599,,25,modellatura a tornio
600,,25,a matrice
601,,208,fusione
602,,25,a matrice
603,,25,a matrice
604,,25,modellatura a tornio
605,,272,soffiatura libera
606,,272,soffiatura libera
607,,272,soffiatura libera
608,,272,soffiatura libera
609,,25,modellatura a tornio
610,,272,soffiatura libera
611,,272,soffiatura libera
612,,272,soffiatura libera
613,,25,modellatura a tornio
614,,272,soffiatura libera
615,,272,soffiatura libera
616,,272,soffiatura libera
617,,272,soffiatura libera
618,,272,soffiatura libera
619,,272,soffiatura libera
620,,272,soffiatura libera
621,,272,soffiatura libera
622,,272,soffiatura libera
623,,272,soffiatura libera
624,,272,soffiatura libera
625,,272,soffiatura libera
626,,25,modellatura a tornio
627,,25,modellatura a tornio
628,,25,modellatura a tornio
629,,272,soffiatura libera
630,,25,a matrice
631,,25,a matrice
632,,25,a matrice
633,,25,a matrice
634,,25,a matrice
635,,25,a matrice
636,,25,a matrice
637,,25,a matrice
638,,22,fusione
639,,25,modellatura a tornio
640,,25,modellatura a tornio
641,,25,modellatura a tornio
642,,25,modellatura a tornio
643,,25,modellatura a tornio
644,,25,modellatura a tornio
645,,272,soffiatura libera
646,,272,soffiatura libera
647,,25,a matrice
648,,272,soffiatura libera
649,,186,a intaglio
650,,186,a intaglio
651,,186,a intaglio
652,,186,a intaglio
653,,186,a intaglio
654,,186,a intaglio
655,,34,fusione
656,,53,Tecnica non presente in lista
